account_number,meter_id,service_address,billing_period_start,billing_period_end,kwh_consumed,peak_demand_kw,rate_schedule,amount_due,tariff_code
ACT-BES-5049,MTR-BESCOM-0981,"12th Main Rd, Indiranagar, Bengaluru, KA 560038",2025-11-12,2025-12-11,4250.00,24.5,LT-Industrial,38250.00,LT-5
ACT-BES-5049,MTR-BESCOM-0981,"12th Main Rd, Indiranagar, Bengaluru, KA 560038",2025-12-12,2026-01-11,4800.00,26.1,LT-Industrial,43200.00,LT-5
ACT-BES-5049,MTR-BESCOM-0981,"12th Main Rd, Indiranagar, Bengaluru, KA 560038",2026-01-12,2026-02-11,4100.00,22.8,LT-Industrial,36900.00,LT-5
ACT-BES-5049,MTR-BESCOM-0981,"12th Main Rd, Indiranagar, Bengaluru, KA 560038",2026-02-12,2026-03-11,3900.00,21.5,LT-Industrial,35100.00,LT-5
ACT-BES-5049,MTR-BESCOM-0981,"12th Main Rd, Indiranagar, Bengaluru, KA 560038",2026-03-12,2026-04-11,4600.00,25.2,LT-Industrial,41400.00,LT-5
ACT-BES-5049,MTR-BESCOM-0981,"12th Main Rd, Indiranagar, Bengaluru, KA 560038",2026-04-12,2026-05-11,5100.00,28.0,LT-Industrial,45900.00,LT-5
ACT-BES-6612,MTR-BESCOM-4251,"Outer Ring Rd, Bellandur, Bengaluru, KA 560103",2025-11-20,2025-12-19,7200.00,38.5,HT-Commercial,79200.00,HT-2
ACT-BES-6612,MTR-BESCOM-4251,"Outer Ring Rd, Bellandur, Bengaluru, KA 560103",2025-12-20,2026-01-19,7600.00,41.2,HT-Commercial,83600.00,HT-2
ACT-BES-6612,MTR-BESCOM-4251,"Outer Ring Rd, Bellandur, Bengaluru, KA 560103",2026-01-20,2026-02-19,6900.00,36.4,HT-Commercial,75900.00,HT-2
ACT-BES-6612,MTR-BESCOM-4251,"Outer Ring Rd, Bellandur, Bengaluru, KA 560103",2026-02-20,2026-03-19,6800.00,35.8,HT-Commercial,74800.00,HT-2
ACT-BES-6612,MTR-BESCOM-4251,"Outer Ring Rd, Bellandur, Bengaluru, KA 560103",2026-03-20,2026-04-19,8100.00,44.5,HT-Commercial,89100.00,HT-2
ACT-BES-6612,MTR-BESCOM-4251,"Outer Ring Rd, Bellandur, Bengaluru, KA 560103",2026-04-20,2026-05-19,8500.00,46.0,HT-Commercial,93500.00,HT-2
ACT-MSE-9921,MTR-MSEDCL-7712,"BKC, Bandra East, Mumbai, MH 400051",2025-11-05,2025-12-04,9500.00,52.0,HT-Commercial,104500.00,HT-I
ACT-MSE-9921,MTR-MSEDCL-7712,"BKC, Bandra East, Mumbai, MH 400051",2025-12-05,2026-01-04,10200.00,55.4,HT-Commercial,112200.00,HT-I
ACT-MSE-9921,MTR-MSEDCL-7712,"BKC, Bandra East, Mumbai, MH 400051",2026-01-05,2026-02-04,9100.00,49.8,HT-Commercial,100100.00,HT-I
ACT-MSE-9921,MTR-MSEDCL-7712,"BKC, Bandra East, Mumbai, MH 400051",2026-02-05,2026-03-04,8900.00,48.2,HT-Commercial,97900.00,HT-I
ACT-MSE-9921,MTR-MSEDCL-7712,"BKC, Bandra East, Mumbai, MH 400051",2026-03-05,2026-04-04,11500.00,58.9,HT-Commercial,126500.00,HT-I
ACT-MSE-9921,MTR-MSEDCL-7712,"BKC, Bandra East, Mumbai, MH 400051",2026-04-05,2026-05-04,12100.00,61.5,HT-Commercial,133100.00,HT-I
